order	package_name	version	url	type
62	sourcetools	0.1.7	http://cran.r-project.org/src/contrib/Archive/sourcetools/sourcetools_0.1.7.tar.gz	CRAN_archive
63	SQUAREM	2020.2	http://cran.r-project.org/src/contrib/Archive/SQUAREM/SQUAREM_2020.2.tar.gz	CRAN_archive
64	sys	3.3	http://cran.r-project.org/src/contrib/Archive/sys/sys_3.3.tar.gz	CRAN_archive
65	systemfonts	1.0.4	https://cran.r-project.org/src/contrib/systemfonts_1.0.4.tar.gz	CRAN_last
66	tsne	0.1-3	http://cran.r-project.org/src/contrib/Archive/tsne/tsne_0.1-3.tar.gz	CRAN_archive
67	tzdb	0.1.2	http://cran.r-project.org/src/contrib/Archive/tzdb/tzdb_0.1.2.tar.gz	CRAN_archive
68	utf8	1.1.4	http://cran.r-project.org/src/contrib/Archive/utf8/utf8_1.1.4.tar.gz	CRAN_archive
69	viridisLite	0.3.0	http://cran.r-project.org/src/contrib/Archive/viridisLite/viridisLite_0.3.0.tar.gz	CRAN_archive
70	whisker	0.4	http://cran.r-project.org/src/contrib/Archive/whisker/whisker_0.4.tar.gz	CRAN_archive
71	wk	0.5.0	http://cran.r-project.org/src/contrib/Archive/wk/wk_0.5.0.tar.gz	CRAN_archive
72	yaml	2.2.1	http://cran.r-project.org/src/contrib/Archive/yaml/yaml_2.2.1.tar.gz	CRAN_archive
73	zip	2.2.0	http://cran.r-project.org/src/contrib/Archive/zip/zip_2.2.0.tar.gz	CRAN_archive
74	zlibbioc	1.32.0	https://bioconductor.org/packages/3.10/bioc/src/contrib/zlibbioc_1.32.0.tar.gz	BioC_last
75	codetools	0.2-16	http://cran.r-project.org/src/contrib/Archive/codetools/codetools_0.2-16.tar.gz	CRAN_archive
76	askpass	1.1	https://cran.r-project.org/src/contrib/askpass_1.1.tar.gz	CRAN_last
77	assertthat	0.2.1	https://cran.r-project.org/src/contrib/assertthat_0.2.1.tar.gz	CRAN_last
78	BiocManager	1.30.10	http://cran.r-project.org/src/contrib/Archive/BiocManager/BiocManager_1.30.10.tar.gz	CRAN_archive
79	checkmate	2.0.0	http://cran.r-project.org/src/contrib/Archive/checkmate/checkmate_2.0.0.tar.gz	CRAN_archive
80	clipr	0.7.0	http://cran.r-project.org/src/contrib/Archive/clipr/clipr_0.7.0.tar.gz	CRAN_archive
81	digest	0.6.25	http://cran.r-project.org/src/contrib/Archive/digest/digest_0.6.25.tar.gz	CRAN_archive
82	downloader	0.4	https://cran.r-project.org/src/contrib/downloader_0.4.tar.gz	CRAN_last
83	futile.logger	1.4.3	https://cran.r-project.org/src/contrib/futile.logger_1.4.3.tar.gz	CRAN_last
84	globals	0.14.0	http://cran.r-project.org/src/contrib/Archive/globals/globals_0.14.0.tar.gz	CRAN_archive
85	here	1.0.1	https://cran.r-project.org/src/contrib/here_1.0.1.tar.gz	CRAN_last
86	iterators	1.0.12	http://cran.r-project.org/src/contrib/Archive/iterators/iterators_1.0.12.tar.gz	CRAN_archive
87	mime	0.9	http://cran.r-project.org/src/contrib/Archive/mime/mime_0.9.tar.gz	CRAN_archive
88	openssl	1.4.1	http://cran.r-project.org/src/contrib/Archive/openssl/openssl_1.4.1.tar.gz	CRAN_archive
89	pkgconfig	2.0.3	https://cran.r-project.org/src/contrib/pkgconfig_2.0.3.tar.gz	CRAN_last
90	ps	1.6.0	http://cran.r-project.org/src/contrib/Archive/ps/ps_1.6.0.tar.gz	CRAN_archive
91	R.methodsS3	1.8.1	http://cran.r-project.org/src/contrib/Archive/R.methodsS3/R.methodsS3_1.8.1.tar.gz	CRAN_archive
92	Rhtslib	1.18.1	https://bioconductor.org/packages/3.10/bioc/src/contrib/Rhtslib_1.18.1.tar.gz	BioC_last
93	rlang	1.0.2	http://cran.r-project.org/src/contrib/Archive/rlang/rlang_1.0.2.tar.gz	CRAN_archive
94	rvcheck	0.1.8	http://cran.r-project.org/src/contrib/Archive/rvcheck/rvcheck_0.1.8.tar.gz	CRAN_archive
95	snow	0.4-3	http://cran.r-project.org/src/contrib/Archive/snow/snow_0.4-3.tar.gz	CRAN_archive
96	svglite	2.0.0	http://cran.r-project.org/src/contrib/Archive/svglite/svglite_2.0.0.tar.gz	CRAN_archive
97	beeswarm	0.4.0	https://cran.r-project.org/src/contrib/beeswarm_0.4.0.tar.gz	CRAN_last
98	boot	1.3-25	http://cran.r-project.org/src/contrib/Archive/boot/boot_1.3-25.tar.gz	CRAN_archive
99	cachem	1.0.6	http://cran.r-project.org/src/contrib/Archive/cachem/cachem_1.0.6.tar.gz	CRAN_archive
100	DEoptimR	1.0-9	http://cran.r-project.org/src/contrib/Archive/DEoptimR/DEoptimR_1.0-9.tar.gz	CRAN_archive
101	ellipsis	0.3.2	https://cran.r-project.org/src/contrib/ellipsis_0.3.2.tar.gz	CRAN_last
102	fdrtool	1.2.15	http://cran.r-project.org/src/contrib/Archive/fdrtool/fdrtool_1.2.15.tar.gz	CRAN_archive
103	foreach	1.5.0	http://cran.r-project.org/src/contrib/Archive/foreach/foreach_1.5.0.tar.gz	CRAN_archive
104	Formula	1.2-3	http://cran.r-project.org/src/contrib/Archive/Formula/Formula_1.2-3.tar.gz	CRAN_archive
105	gridGraphics	0.5-0	http://cran.r-project.org/src/contrib/Archive/gridGraphics/gridGraphics_0.5-0.tar.gz	CRAN_archive
106	gtable	0.3.0	http://cran.r-project.org/src/contrib/Archive/gtable/gtable_0.3.0.tar.gz	CRAN_archive
107	htmltools	0.5.2	http://cran.r-project.org/src/contrib/Archive/htmltools/htmltools_0.5.2.tar.gz	CRAN_archive
108	jquerylib	0.1.4	https://cran.r-project.org/src/contrib/jquerylib_0.1.4.tar.gz	CRAN_last
109	KernSmooth	2.23-17	http://cran.r-project.org/src/contrib/Archive/KernSmooth/KernSmooth_2.23-17.tar.gz	CRAN_archive
110	lattice	0.20-41	http://cran.r-project.org/src/contrib/Archive/lattice/lattice_0.20-41.tar.gz	CRAN_archive
111	latticeExtra	0.6-29	http://cran.r-project.org/src/contrib/Archive/latticeExtra/latticeExtra_0.6-29.tar.gz	CRAN_archive
112	locfit	1.5-9.4	http://cran.r-project.org/src/contrib/Archive/locfit/locfit_1.5-9.4.tar.gz	CRAN_archive
113	memoise	2.0.0	http://cran.r-project.org/src/contrib/Archive/memoise/memoise_2.0.0.tar.gz	CRAN_archive
114	nlme	3.1-147	http://cran.r-project.org/src/contrib/Archive/nlme/nlme_3.1-147.tar.gz	CRAN_archive
115	nnet	7.3-14	http://cran.r-project.org/src/contrib/Archive/nnet/nnet_7.3-14.tar.gz	CRAN_archive
116	parallelly	1.28.1	http://cran.r-project.org/src/contrib/Archive/parallelly/parallelly_1.28.1.tar.gz	CRAN_archive
117	pbapply	1.4-2	http://cran.r-project.org/src/contrib/Archive/pbapply/pbapply_1.4-2.tar.gz	CRAN_archive
118	polynom	1.4-0	http://cran.r-project.org/src/contrib/Archive/polynom/polynom_1.4-0.tar.gz	CRAN_archive
119	processx	3.5.2	http://cran.r-project.org/src/contrib/Archive/processx/processx_3.5.2.tar.gz	CRAN_archive
120	proxy	0.4-24	http://cran.r-project.org/src/contrib/Archive/proxy/proxy_0.4-24.tar.gz	CRAN_archive
121	pspline	1.0-18	http://cran.r-project.org/src/contrib/Archive/pspline/pspline_1.0-18.tar.gz	CRAN_archive
122	purrr	0.3.4	http://cran.r-project.org/src/contrib/Archive/purrr/purrr_0.3.4.tar.gz	CRAN_archive
123	randomForest	4.6-14	http://cran.r-project.org/src/contrib/Archive/randomForest/randomForest_4.6-14.tar.gz	CRAN_archive
124	scatterplot3d	0.3-41	http://cran.r-project.org/src/contrib/Archive/scatterplot3d/scatterplot3d_0.3-41.tar.gz	CRAN_archive
125	shape	1.4.6	https://cran.r-project.org/src/contrib/shape_1.4.6.tar.gz	CRAN_last
126	stabledist	0.7-1	https://cran.r-project.org/src/contrib/stabledist_0.7-1.tar.gz	CRAN_last
127	statmod	1.4.34	http://cran.r-project.org/src/contrib/Archive/statmod/statmod_1.4.34.tar.gz	CRAN_archive
128	stringi	1.4.6	http://cran.r-project.org/src/contrib/Archive/stringi/stringi_1.4.6.tar.gz	CRAN_archive
129	vipor	0.4.5	https://cran.r-project.org/src/contrib/vipor_0.4.5.tar.gz	CRAN_last
130	withr	2.5.0	https://cran.r-project.org/src/contrib/withr_2.5.0.tar.gz	CRAN_last
131	xfun	0.35	http://cran.r-project.org/src/contrib/Archive/xfun/xfun_0.35.tar.gz	CRAN_archive
132	xopen	1.0.0	https://cran.r-project.org/src/contrib/xopen_1.0.0.tar.gz	CRAN_last
133	xtable	1.8-4	https://cran.r-project.org/src/contrib/xtable_1.8-4.tar.gz	CRAN_last
134	zoo	1.8-10	http://cran.r-project.org/src/contrib/Archive/zoo/zoo_1.8-10.tar.gz	CRAN_archive
135	cluster	2.1.0	http://cran.r-project.org/src/contrib/Archive/cluster/cluster_2.1.0.tar.gz	CRAN_archive
136	rpart	4.1-15	http://cran.r-project.org/src/contrib/Archive/rpart/rpart_4.1-15.tar.gz	CRAN_archive
137	abind	1.4-5	https://cran.r-project.org/src/contrib/abind_1.4-5.tar.gz	CRAN_last
138	BBmisc	1.11	http://cran.r-project.org/src/contrib/Archive/BBmisc/BBmisc_1.11.tar.gz	CRAN_archive
139	BiocGenerics	0.32.0	https://bioconductor.org/packages/3.10/bioc/src/contrib/BiocGenerics_0.32.0.tar.gz	BioC_last
140	BiocParallel	1.20.1	https://bioconductor.org/packages/3.10/bioc/src/contrib/BiocParallel_1.20.1.tar.gz	BioC_last
141	bit64	4.0.5	https://cran.r-project.org/src/contrib/bit64_4.0.5.tar.gz	CRAN_last
142	callr	3.7.0	http://cran.r-project.org/src/contrib/Archive/callr/callr_3.7.0.tar.gz	CRAN_archive
143	clue	0.3-60	http://cran.r-project.org/src/contrib/Archive/clue/clue_0.3-60.tar.gz	CRAN_archive
144	coda	0.19-4	https://cran.r-project.org/src/contrib/coda_0.19-4.tar.gz	CRAN_last
145	colorspace	1.4-1	http://cran.r-project.org/src/contrib/Archive/colorspace/colorspace_1.4-1.tar.gz	CRAN_archive
146	crayon	1.3.4	http://cran.r-project.org/src/contrib/Archive/crayon/crayon_1.3.4.tar.gz	CRAN_archive
147	data.table	1.14.2	http://cran.r-project.org/src/contrib/Archive/data.table/data.table_1.14.2.tar.gz	CRAN_archive
148	data.tree	1.0.0	https://cran.r-project.org/src/contrib/data.tree_1.0.0.tar.gz	CRAN_last
149	DBI	1.1.1	http://cran.r-project.org/src/contrib/Archive/DBI/DBI_1.1.1.tar.gz	CRAN_archive
150	DiceKriging	1.5.6	http://cran.r-project.org/src/contrib/Archive/DiceKriging/DiceKriging_1.5.6.tar.gz	CRAN_archive
151	diffobj	0.3.5	https://cran.r-project.org/src/contrib/diffobj_0.3.5.tar.gz	CRAN_last
152	doParallel	1.0.15	http://cran.r-project.org/src/contrib/Archive/doParallel/doParallel_1.0.15.tar.gz	CRAN_archive
153	evaluate	0.18	http://cran.r-project.org/src/contrib/Archive/evaluate/evaluate_0.18.tar.gz	CRAN_archive
154	fontawesome	0.2.2	http://cran.r-project.org/src/contrib/Archive/fontawesome/fontawesome_0.2.2.tar.gz	CRAN_archive
155	foreign	0.8-76	http://cran.r-project.org/src/contrib/Archive/foreign/foreign_0.8-76.tar.gz	CRAN_archive
156	fs	1.5.2	http://cran.r-project.org/src/contrib/Archive/fs/fs_1.5.2.tar.gz	CRAN_archive
157	future	1.22.1	http://cran.r-project.org/src/contrib/Archive/future/future_1.22.1.tar.gz	CRAN_archive
158	future.apply	1.5.0	http://cran.r-project.org/src/contrib/Archive/future.apply/future.apply_1.5.0.tar.gz	CRAN_archive
159	generics	0.1.0	http://cran.r-project.org/src/contrib/Archive/generics/generics_0.1.0.tar.gz	CRAN_archive
160	GlobalOptions	0.1.2	https://cran.r-project.org/src/contrib/GlobalOptions_0.1.2.tar.gz	CRAN_last
161	glue	1.4.2	http://cran.r-project.org/src/contrib/Archive/glue/glue_1.4.2.tar.gz	CRAN_archive
162	graph	1.64.0	https://bioconductor.org/packages/3.10/bioc/src/contrib/graph_1.64.0.tar.gz	BioC_last
163	gridExtra	2.3	https://cran.r-project.org/src/contrib/gridExtra_2.3.tar.gz	CRAN_last
164	gtools	3.8.2	http://cran.r-project.org/src/contrib/Archive/gtools/gtools_3.8.2.tar.gz	CRAN_archive
165	hexbin	1.28.1	http://cran.r-project.org/src/contrib/Archive/hexbin/hexbin_1.28.1.tar.gz	CRAN_archive
166	jsonlite	1.7.2	http://cran.r-project.org/src/contrib/Archive/jsonlite/jsonlite_1.7.2.tar.gz	CRAN_archive
167	kernlab	0.9-29	http://cran.r-project.org/src/contrib/Archive/kernlab/kernlab_0.9-29.tar.gz	CRAN_archive
168	lifecycle	1.0.1	http://cran.r-project.org/src/contrib/Archive/lifecycle/lifecycle_1.0.1.tar.gz	CRAN_archive
169	limma	3.42.2	https://bioconductor.org/packages/3.10/bioc/src/contrib/limma_3.42.2.tar.gz	BioC_last
170	lmtest	0.9-38	http://cran.r-project.org/src/contrib/Archive/lmtest/lmtest_0.9-38.tar.gz	CRAN_archive
171	markdown	1.1	http://cran.r-project.org/src/contrib/Archive/markdown/markdown_1.1.tar.gz	CRAN_archive
172	MASS	7.3-54	http://cran.r-project.org/src/contrib/Archive/MASS/MASS_7.3-54.tar.gz	CRAN_archive
173	Matrix	1.3-2	http://cran.r-project.org/src/contrib/Archive/Matrix/Matrix_1.3-2.tar.gz	CRAN_archive
174	MatrixModels	0.4-1	http://cran.r-project.org/src/contrib/Archive/MatrixModels/MatrixModels_0.4-1.tar.gz	CRAN_archive
175	modeltools	0.2-23	https://cran.r-project.org/src/contrib/modeltools_0.2-23.tar.gz	CRAN_last
176	munsell	0.5.0	https://cran.r-project.org/src/contrib/munsell_0.5.0.tar.gz	CRAN_last
177	mvtnorm	1.1-1	http://cran.r-project.org/src/contrib/Archive/mvtnorm/mvtnorm_1.1-1.tar.gz	CRAN_archive
178	npsurv	0.4-0	http://cran.r-project.org/src/contrib/Archive/npsurv/npsurv_0.4-0.tar.gz	CRAN_archive
179	parallelMap	1.5.0	http://cran.r-project.org/src/contrib/Archive/parallelMap/parallelMap_1.5.0.tar.gz	CRAN_archive
180	ParamHelpers	1.14	http://cran.r-project.org/src/contrib/Archive/ParamHelpers/ParamHelpers_1.14.tar.gz	CRAN_archive
181	pcaPP	1.9-73	http://cran.r-project.org/src/contrib/Archive/pcaPP/pcaPP_1.9-73.tar.gz	CRAN_archive
182	pdist	1.2	http://cran.r-project.org/src/contrib/Archive/pdist/pdist_1.2.tar.gz	CRAN_archive
183	plot3D	1.3	http://cran.r-project.org/src/contrib/Archive/plot3D/plot3D_1.3.tar.gz	CRAN_archive
184	R.oo	1.24.0	http://cran.r-project.org/src/contrib/Archive/R.oo/R.oo_1.24.0.tar.gz	CRAN_archive
185	R.utils	2.11.0	http://cran.r-project.org/src/contrib/Archive/R.utils/R.utils_2.11.0.tar.gz	CRAN_archive
186	Rcpp	1.0.9	http://cran.r-project.org/src/contrib/Archive/Rcpp/Rcpp_1.0.9.tar.gz	CRAN_archive
187	RcppAnnoy	0.0.16	http://cran.r-project.org/src/contrib/Archive/RcppAnnoy/RcppAnnoy_0.0.16.tar.gz	CRAN_archive
188	RcppArmadillo	0.9.870.2.0	http://cran.r-project.org/src/contrib/Archive/RcppArmadillo/RcppArmadillo_0.9.870.2.0.tar.gz	CRAN_archive
189	RcppEigen	0.3.3.7.0	http://cran.r-project.org/src/contrib/Archive/RcppEigen/RcppEigen_0.3.3.7.0.tar.gz	CRAN_archive
190	RcppHNSW	0.2.0	http://cran.r-project.org/src/contrib/Archive/RcppHNSW/RcppHNSW_0.2.0.tar.gz	CRAN_archive
191	RcppTOML	0.1.7	http://cran.r-project.org/src/contrib/Archive/RcppTOML/RcppTOML_0.1.7.tar.gz	CRAN_archive
192	RCurl	1.98-1.2	http://cran.r-project.org/src/contrib/Archive/RCurl/RCurl_1.98-1.2.tar.gz	CRAN_archive
193	remotes	2.4.2	https://cran.r-project.org/src/contrib/remotes_2.4.2.tar.gz	CRAN_last
194	reticulate	1.26	http://cran.r-project.org/src/contrib/Archive/reticulate/reticulate_1.26.tar.gz	CRAN_archive
195	rhdf5	2.30.1	https://bioconductor.org/packages/3.10/bioc/src/contrib/rhdf5_2.30.1.tar.gz	BioC_last
196	rjags	4-13	https://cran.r-project.org/src/contrib/rjags_4-13.tar.gz	CRAN_last
197	RJSONIO	1.3-1.4	http://cran.r-project.org/src/contrib/Archive/RJSONIO/RJSONIO_1.3-1.4.tar.gz	CRAN_archive
198	robustbase	0.93-9	http://cran.r-project.org/src/contrib/Archive/robustbase/robustbase_0.93-9.tar.gz	CRAN_archive
199	RSpectra	0.16-0	http://cran.r-project.org/src/contrib/Archive/RSpectra/RSpectra_0.16-0.tar.gz	CRAN_archive
200	rsvd	1.0.3	http://cran.r-project.org/src/contrib/Archive/rsvd/rsvd_1.0.3.tar.gz	CRAN_archive
201	Rtsne	0.15	http://cran.r-project.org/src/contrib/Archive/Rtsne/Rtsne_0.15.tar.gz	CRAN_archive
202	s2	1.0.7	http://cran.r-project.org/src/contrib/Archive/s2/s2_1.0.7.tar.gz	CRAN_archive
203	S4Vectors	0.24.4	https://bioconductor.org/packages/3.10/bioc/src/contrib/S4Vectors_0.24.4.tar.gz	BioC_last
204	sandwich	3.0-1	http://cran.r-project.org/src/contrib/Archive/sandwich/sandwich_3.0-1.tar.gz	CRAN_archive
205	sass	0.4.0	http://cran.r-project.org/src/contrib/Archive/sass/sass_0.4.0.tar.gz	CRAN_archive
206	scales	1.1.1	http://cran.r-project.org/src/contrib/Archive/scales/scales_1.1.1.tar.gz	CRAN_archive
207	segmented	1.5-0	http://cran.r-project.org/src/contrib/Archive/segmented/segmented_1.5-0.tar.gz	CRAN_archive
208	sitmo	2.0.1	http://cran.r-project.org/src/contrib/Archive/sitmo/sitmo_2.0.1.tar.gz	CRAN_archive
209	softImpute	1.4	http://cran.r-project.org/src/contrib/Archive/softImpute/softImpute_1.4.tar.gz	CRAN_archive
210	sp	1.4-1	http://cran.r-project.org/src/contrib/Archive/sp/sp_1.4-1.tar.gz	CRAN_archive
211	SparseM	1.78	http://cran.r-project.org/src/contrib/Archive/SparseM/SparseM_1.78.tar.gz	CRAN_archive
212	stringr	1.4.0	http://cran.r-project.org/src/contrib/Archive/stringr/stringr_1.4.0.tar.gz	CRAN_archive
213	survival	3.2-13	http://cran.r-project.org/src/contrib/Archive/survival/survival_3.2-13.tar.gz	CRAN_archive
214	TH.data	1.1-0	http://cran.r-project.org/src/contrib/Archive/TH.data/TH.data_1.1-0.tar.gz	CRAN_archive
215	timeDate	3043.102	http://cran.r-project.org/src/contrib/Archive/timeDate/timeDate_3043.102.tar.gz	CRAN_archive
216	tinytex	0.38	http://cran.r-project.org/src/contrib/Archive/tinytex/tinytex_0.38.tar.gz	CRAN_archive
217	triebeard	0.3.0	http://cran.r-project.org/src/contrib/Archive/triebeard/triebeard_0.3.0.tar.gz	CRAN_archive
218	tweenr	1.0.1	http://cran.r-project.org/src/contrib/Archive/tweenr/tweenr_1.0.1.tar.gz	CRAN_archive
219	units	0.7-2	http://cran.r-project.org/src/contrib/Archive/units/units_0.7-2.tar.gz	CRAN_archive
220	urltools	1.7.3	https://cran.r-project.org/src/contrib/urltools_1.7.3.tar.gz	CRAN_last
221	vcd	1.4-8	http://cran.r-project.org/src/contrib/Archive/vcd/vcd_1.4-8.tar.gz	CRAN_archive
222	vctrs	0.3.8	http://cran.r-project.org/src/contrib/Archive/vctrs/vctrs_0.3.8.tar.gz	CRAN_archive
223	webshot	0.5.2	http://cran.r-project.org/src/contrib/Archive/webshot/webshot_0.5.2.tar.gz	CRAN_archive
224	xgboost	1.4.1.1	http://cran.r-project.org/src/contrib/Archive/xgboost/xgboost_1.4.1.1.tar.gz	CRAN_archive
225	XML	3.99-0.3	http://cran.r-project.org/src/contrib/Archive/XML/XML_3.99-0.3.tar.gz	CRAN_archive
226	xml2	1.3.2	http://cran.r-project.org/src/contrib/Archive/xml2/xml2_1.3.2.tar.gz	CRAN_archive
227	xts	0.12.1	http://cran.r-project.org/src/contrib/Archive/xts/xts_0.12.1.tar.gz	CRAN_archive
228	class	7.3-17	http://cran.r-project.org/src/contrib/Archive/class/class_7.3-17.tar.gz	CRAN_archive
229	mgcv	1.8-31	http://cran.r-project.org/src/contrib/Archive/mgcv/mgcv_1.8-31.tar.gz	CRAN_archive
